x,y,z
1755,3848,2063
1755,3848,2063
1755,3848,2063
1755,3848,2063
1757,3837,2056
1752,3825,2058
1752,3825,2058
1752,3825,2058
1752,3825,2058
1765,3820,2051
1765,3820,2051
1765,3820,2051
1765,3820,2051
1762,3812,2058
1762,3812,2058
1762,3812,2058
1777,3806,2061
1777,3806,2061
1777,3806,2061
1777,3806,2061
1770,3803,2058
1770,3803,2058
1787,3791,2058
1787,3791,2058
1787,3791,2058
1787,3791,2058
1777,3788,2056
1777,3788,2056
1780,3778,2058
1780,3778,2058
1787,3776,2068
1787,3776,2068
1777,3781,2063
1777,3781,2063
1782,3772,2061
1782,3772,2061
1785,3776,2058
1785,3776,2058
1785,3765,2066
1785,3765,2066
1785,3765,2066
1785,3765,2066
1792,3765,2058
1792,3765,2058
1797,3762,2066
1797,3762,2066
1790,3750,2068
1790,3750,2068
1790,3750,2068
1795,3747,2061
1795,3752,2056
1795,3752,2056
1795,3752,2056
1795,3752,2056
1795,3752,2056
1797,3738,2061
1797,3738,2061
1810,3733,2058
1810,3733,2058
1800,3731,2056
1800,3731,2056
1795,3731,2056
1795,3731,2056
1817,3721,2058
1817,3721,2058
1817,3721,2058
1817,3721,2058
1817,3721,2058
1817,3721,2058
1807,3711,2053
1807,3711,2053
1805,3711,2073
1805,3711,2073
1790,3697,2076
1790,3697,2076
1795,3690,2073
1795,3690,2073
1795,3690,2073
1795,3690,2073
1795,3690,2073
1807,3677,2047
1807,3677,2047
1807,3677,2047
1827,3672,2047
1827,3672,2047
1827,3672,2047
1827,3672,2047
1827,3672,2047
1812,3666,2051
1812,3666,2051
1827,3641,2063
1832,3625,2045
1832,3625,2045
1817,3622,2047
1817,3622,2047
1817,3622,2047
1835,3605,2061
1835,3605,2061
1840,3602,2045
1840,3602,2045
1840,3602,2045
1840,3602,2045
1827,3588,2056
1827,3588,2056
1842,3578,2053
1842,3578,2053
1850,3576,2058
1850,3576,2058
1837,3565,2047
1837,3565,2047
1837,3565,2047
1835,3537,2045
1862,3540,2051
1862,3540,2051
1842,3532,2047
1842,3532,2047
1840,3521,2045
1840,3521,2045
1850,3516,2051
1850,3516,2051
1832,3487,2035
1827,3482,2042
1827,3482,2042
1827,3482,2042
1827,3463,2042
1827,3463,2042
1832,3461,2047
1832,3461,2047
1847,3433,2042
1835,3431,2042
1835,3431,2042
1837,3431,2030
1837,3431,2030
1837,3431,2030
1827,3405,2045
1827,3405,2045
1825,3391,2040
1825,3391,2040
1825,3391,2040
1825,3391,2040
1842,3381,2056
1842,3381,2056
1837,3381,2042
1837,3381,2042
1837,3381,2042
1837,3381,2042
1825,3361,2042
1832,3352,2035
1832,3352,2035
1832,3352,2035
1822,3342,2051
1822,3342,2051
1830,3332,2040
1830,3332,2040
1820,3332,2032
1817,3327,2045
1817,3327,2045
1827,3318,2032
1822,3316,2045
1822,3316,2045
1810,3318,2058
1810,3318,2058
1810,3298,2035
1817,3301,2042
1817,3301,2042
1817,3292,2037
1817,3292,2037
1810,3285,2032
1817,3282,2047
1817,3282,2047
1817,3282,2047
1817,3282,2047
1805,3272,2045
1812,3267,2030
1812,3267,2030
1800,3267,2017
1800,3267,2017
1805,3260,2030
1805,3260,2030
1795,3253,2040
1800,3238,2037
1800,3238,2037
1790,3241,2035
1802,3226,2027
1802,3226,2027
1802,3231,2051
1802,3231,2051
1792,3226,2035
1790,3223,2051
1790,3223,2051
1785,3207,2042
1785,3207,2042
1785,3207,2042
1780,3217,2056
1780,3217,2056
1785,3200,2037
1785,3200,2037
1785,3200,2037
1772,3186,2051
1772,3186,2051
1767,3186,2045
1767,3186,2045
1767,3186,2045
1767,3186,2045
1770,3168,2040
1772,3183,2047
1772,3183,2047
1772,3183,2047
1757,3161,2051
1757,3161,2051
1750,3156,2047
1750,3156,2047
1762,3147,2037
1757,3150,2037
1757,3150,2037
1737,3156,2051
1737,3156,2051
1737,3156,2051
1750,3140,2032
1750,3140,2032
1752,3135,2040
1752,3135,2040
1752,3135,2040
1730,3125,2053
1730,3125,2053
1737,3150,2053
1737,3150,2053
1737,3140,2042
1737,3140,2042
1737,3140,2042
1750,3122,2030
1745,3137,2040
1745,3137,2040
1757,3137,2051
1757,3137,2051
1735,3147,2042
1735,3147,2042
1737,3145,2032
1737,3145,2032
1742,3137,2032
1735,3140,2037
1735,3140,2037
1750,3135,2040
1747,3122,2037
1747,3122,2037
1740,3127,2035
1740,3127,2035
1732,3135,2027
1732,3135,2027
1745,3130,2030
1745,3130,2030
1735,3130,2025
1735,3130,2025
1732,3137,2030
1745,3132,2022
1745,3132,2022
1745,3132,2022
1730,3130,2030
1732,3150,2025
1732,3150,2025
1740,3130,2027
1740,3130,2027
1747,3137,2017
1747,3137,2017
1737,3135,2030
1737,3135,2030
1730,3137,2037
1730,3137,2037
1740,3130,2042
1740,3130,2042
1727,3147,2030
1727,3147,2030
1727,3147,2030
1727,3147,2030
1732,3137,2032
1732,3137,2032
1732,3137,2032
1732,3137,2037
1722,3147,2030
1722,3147,2030
1732,3132,2037
1732,3132,2037
1732,3132,2037
1727,3130,2035
1727,3130,2035
1727,3132,2037
1727,3132,2037
1727,3132,2037
1735,3121,2042
1735,3121,2042
1725,3116,2035
1725,3116,2035
1725,3116,2035
1725,3116,2035
1725,3116,2035
1715,3116,2053
1715,3116,2053
1715,3116,2053
1715,3116,2053
1715,3116,2053
1715,3116,2053
1715,3103,2045
1715,3103,2045
1715,3103,2045
