x,y,z
430,3443,2131
410,3458,2118
410,3458,2118
410,3458,2118
410,3472,2138
410,3472,2138
412,3495,2126
412,3495,2126
412,3495,2126
410,3470,2126
410,3470,2126
410,3470,2126
422,3470,2131
422,3470,2131
432,3482,2131
432,3482,2131
432,3475,2143
432,3475,2143
432,3475,2143
417,3487,2126
417,3487,2126
417,3480,2138
417,3480,2138
417,3480,2138
417,3480,2138
417,3480,2138
417,3501,2131
417,3501,2131
417,3501,2131
417,3511,2136
417,3511,2136
410,3506,2148
410,3506,2148
410,3506,2148
400,3506,2153
400,3506,2153
400,3506,2153
407,3513,2156
407,3513,2156
407,3513,2156
407,3513,2156
422,3526,2165
422,3526,2165
422,3526,2165
422,3526,2165
422,3526,2165
412,3537,2170
412,3537,2170
412,3537,2170
412,3535,2148
412,3535,2148
402,3528,2153
402,3528,2153
402,3528,2153
402,3528,2153
402,3528,2153
412,3560,2141
412,3560,2141
412,3560,2141
412,3560,2141
412,3560,2141
412,3560,2141
422,3568,2151
422,3568,2151
422,3568,2151
422,3568,2151
427,3576,2172
427,3576,2172
427,3576,2172
427,3576,2172
427,3576,2172
417,3586,2180
417,3586,2180
417,3586,2180
422,3593,2146
422,3593,2146
427,3598,2153
427,3598,2153
427,3598,2153
427,3598,2153
427,3598,2153
412,3596,2148
412,3596,2148
412,3596,2148
412,3596,2148
412,3596,2148
412,3596,2148
412,3596,2148
412,3596,2148
412,3596,2148
412,3596,2148
422,3610,2162
422,3610,2162
422,3610,2162
422,3610,2162
422,3610,2162
422,3622,2141
422,3622,2141
422,3622,2141
420,3622,2151
420,3622,2151
437,3612,2151
437,3612,2151
417,3612,2148
417,3612,2148
417,3612,2148
430,3622,2162
430,3622,2162
440,3630,2156
440,3630,2156
440,3630,2156
440,3630,2156
440,3630,2156
455,3632,2162
455,3632,2162
455,3632,2162
442,3643,2143
442,3643,2143
437,3635,2143
437,3635,2143
437,3635,2143
437,3632,2151
437,3632,2151
437,3632,2151
445,3643,2146
445,3643,2146
442,3636,2156
442,3636,2156
432,3648,2141
432,3648,2141
432,3648,2141
437,3648,2133
437,3648,2133
455,3638,2138
455,3638,2138
455,3638,2138
452,3653,2136
452,3653,2136
457,3672,2141
457,3672,2141
457,3672,2141
470,3668,2136
470,3668,2136
457,3651,2136
457,3651,2136
457,3651,2136
457,3651,2136
457,3651,2136
457,3651,2136
460,3668,2141
460,3668,2141
460,3668,2141
460,3668,2141
462,3682,2148
462,3682,2148
462,3682,2148
462,3682,2148
462,3682,2148
470,3685,2143
470,3685,2143
470,3685,2143
472,3682,2136
472,3682,2136
475,3687,2141
490,3690,2148
490,3690,2148
490,3690,2148
490,3690,2148
490,3690,2148
487,3700,2133
487,3700,2133
487,3700,2133
485,3705,2131
485,3705,2131
487,3695,2123
487,3695,2123
487,3695,2123
487,3695,2123
487,3695,2123
490,3700,2133
490,3700,2133
490,3700,2133
490,3700,2133
490,3700,2133
490,3700,2133
490,3700,2133
490,3700,2133
490,3700,2133
490,3700,2133
505,3713,2111
505,3713,2111
505,3713,2111
505,3713,2111
505,3713,2111
495,3697,2116
495,3697,2116
495,3697,2116
485,3700,2128
485,3700,2128
502,3700,2106
502,3700,2106
505,3697,2103
505,3697,2103
505,3697,2103
505,3690,2103
505,3690,2103
500,3685,2088
500,3685,2088
500,3685,2088
500,3685,2088
500,3685,2088
510,3685,2091
510,3685,2091
510,3685,2091
522,3697,2096
522,3697,2096
525,3700,2093
525,3700,2093
525,3700,2093
540,3716,2093
540,3716,2093
540,3716,2093
527,3718,2086
527,3718,2086
532,3723,2096
532,3723,2096
537,3733,2086
537,3733,2086
537,3733,2086
537,3738,2093
537,3738,2093
535,3738,2091
535,3738,2091
535,3738,2091
542,3726,2086
542,3726,2086
552,3726,2088
552,3726,2088
552,3726,2088
522,3721,2078
522,3721,2078
537,3713,2086
537,3713,2086
537,3713,2086
532,3713,2071
532,3713,2071
532,3713,2071
532,3716,2066
532,3716,2066
532,3716,2066
532,3716,2066
520,3708,2061
520,3708,2061
520,3708,2061
520,3708,2061
520,3708,2061
525,3700,2066
525,3700,2066
525,3700,2066
537,3692,2068
537,3692,2068
542,3697,2068
542,3697,2068
542,3697,2068
542,3697,2068
542,3697,2068
547,3713,2061
547,3713,2061
547,3713,2061
547,3713,2061
547,3713,2061
547,3713,2061
522,3705,2076
522,3705,2076
522,3705,2076
522,3705,2076
547,3726,2088
547,3726,2088
547,3726,2088
547,3726,2088
547,3726,2088
540,3728,2096
540,3728,2096
540,3728,2096
532,3728,2081
532,3728,2081
532,3728,2076
532,3728,2076
532,3728,2076
532,3728,2076
532,3728,2076
535,3728,2081
535,3728,2081
535,3728,2081
535,3728,2081
535,3728,2081
535,3728,2081
535,3728,2081
542,3731,2088
542,3731,2088
552,3736,2093
552,3736,2093
552,3736,2093
552,3740,2076
552,3740,2076
542,3740,2088
542,3740,2088
542,3740,2088
542,3740,2088
542,3740,2088
555,3733,2083
555,3733,2083
555,3733,2083
562,3760,2096
562,3760,2096
560,3757,2093
560,3757,2093
560,3757,2093
562,3757,2106
562,3757,2106
562,3757,2106
552,3776,2108
552,3776,2108
560,3778,2091
560,3778,2091
557,3786,2101
557,3786,2101
557,3786,2101
560,3798,2103
560,3798,2103
555,3793,2116
555,3793,2116
555,3793,2116
555,3793,2116
555,3793,2116
567,3803,2111
567,3803,2111
567,3803,2111
570,3803,2103
570,3803,2103
562,3815,2118
562,3815,2118
562,3815,2118
575,3810,2123
575,3810,2123
575,3810,2123
572,3812,2113
572,3812,2113
572,3812,2113
572,3812,2113
570,3812,2128
570,3812,2128
570,3812,2128
570,3812,2128
570,3812,2128
585,3822,2133
585,3822,2133
585,3822,2133
575,3815,2118
575,3815,2118
570,3815,2123
570,3815,2123
570,3815,2123
570,3815,2123
570,3815,2123
552,3830,2133
552,3830,2133
552,3830,2133
552,3830,2133
552,3830,2133
552,3830,2133
575,3837,2138
575,3837,2138
575,3837,2138
575,3837,2138
580,3841,2146
580,3841,2146
580,3841,2146
580,3841,2146
580,3841,2146
577,3858,2151
577,3858,2151
577,3858,2151
582,3858,2160
582,3858,2160
610,3856,2151
610,3856,2151
610,3856,2151
610,3856,2151
610,3856,2151
600,3880,2153
600,3880,2153
600,3880,2153
600,3880,2153
600,3880,2153
600,3880,2153
600,3880,2153
600,3880,2153
600,3880,2153
600,3880,2153
590,3885,2162
590,3885,2162
590,3887,2153
590,3887,2153
590,3887,2153
587,3890,2160
587,3890,2160
587,3890,2160
605,3880,2167
605,3880,2167
612,3890,2172
612,3890,2172
605,3897,2167
605,3897,2167
605,3897,2167
597,3890,2165
597,3890,2165
620,3895,2167
620,3895,2167
620,3895,2167
620,3895,2167
620,3895,2167
600,3895,2177
600,3895,2177
600,3895,2177
600,3885,2182
600,3885,2182
607,3885,2167
607,3885,2167
607,3885,2167
605,3900,2175
605,3900,2175
605,3900,2175
607,3885,2170
607,3885,2170
610,3900,2153
610,3900,2153
605,3900,2172
605,3900,2172
605,3900,2172
610,3902,2170
610,3902,2170
610,3885,2185
610,3885,2185
610,3885,2185
617,3890,2162
617,3890,2162
617,3885,2165
617,3885,2165
617,3885,2165
620,3902,2167
620,3902,2167
612,3902,2160
612,3902,2160
612,3902,2160
612,3902,2160
612,3902,2160
612,3902,2160
630,3905,2165
630,3905,2165
630,3905,2165
630,3905,2165
650,3902,2148
650,3902,2148
650,3902,2148
650,3902,2148
650,3902,2148
642,3900,2141
642,3900,2141
642,3900,2141
635,3907,2141
635,3907,2141
647,3910,2156
647,3910,2156
647,3910,2156
647,3910,2156
647,3910,2156
652,3911,2146
652,3911,2146
652,3911,2146
652,3911,2146
652,3911,2146
652,3911,2146
645,3892,2141
645,3892,2141
645,3892,2141
645,3892,2141
667,3918,2146
667,3918,2146
667,3918,2146
667,3918,2146
667,3918,2146
670,3913,2141
670,3913,2141
670,3913,2141
662,3913,2141
662,3913,2141
657,3911,2165
657,3911,2165
657,3911,2165
657,3911,2165
657,3911,2165
652,3910,2141
652,3910,2141
652,3910,2141
652,3910,2141
652,3910,2141
652,3910,2141
652,3910,2141
652,3910,2141
652,3910,2141
652,3910,2141
685,3928,2151
685,3928,2151
690,3936,2167
690,3936,2167
690,3936,2167
692,3945,2172
692,3945,2172
692,3945,2172
697,3950,2151
697,3950,2151
702,3957,2190
702,3957,2190
700,3955,2167
700,3955,2167
700,3955,2167
707,3962,2177
707,3962,2177
705,3962,2180
705,3962,2180
705,3962,2180
705,3962,2180
705,3962,2180
702,3962,2187
702,3962,2187
702,3962,2187
702,3960,2187
702,3960,2187
720,3965,2182
720,3965,2182
712,3970,2190
712,3970,2190
712,3970,2190
712,3970,2190
712,3970,2190
722,3981,2192
722,3981,2192
722,3981,2192
712,3975,2182
712,3975,2182
732,3981,2175
732,3981,2175
732,3981,2175
727,3983,2177
727,3983,2177
727,3983,2177
750,3983,2185
750,3983,2185
750,3983,2185
750,3983,2185
740,3986,2180
740,3986,2180
740,3986,2180
740,3986,2180
740,3986,2180
760,3988,2167
760,3988,2167
760,3988,2167
765,3988,2160
765,3988,2160
775,3993,2182
775,3993,2182
775,3993,2182
775,3993,2182
775,3993,2182
787,3996,2170
787,3996,2170
787,3996,2170
787,3996,2170
787,3996,2170
787,3996,2170
792,4001,2172
792,4001,2172
792,4001,2172
792,4001,2172
787,4013,2167
787,4013,2167
787,4013,2167
787,4013,2167
787,4013,2167
805,3996,2185
805,3996,2185
805,3996,2185
810,4020,2172
810,4020,2172
802,4030,2185
802,4030,2185
802,4030,2185
802,4030,2185
802,4030,2185
810,4035,2190
810,4035,2190
810,4035,2190
810,4035,2190
810,4035,2190
810,4035,2190
810,4035,2190
810,4035,2190
810,4035,2190
810,4035,2190
837,4013,2182
837,4013,2182
840,4030,2185
840,4030,2185
840,4030,2185
855,4025,2185
855,4025,2185
855,4025,2185
852,4037,2187
852,4037,2187
840,4045,2195
840,4045,2195
860,4032,2195
860,4032,2195
860,4032,2195
860,4032,2200
860,4032,2200
862,4045,2205
862,4045,2205
862,4045,2205
862,4045,2205
862,4045,2205
877,4040,2195
877,4040,2195
877,4040,2195
877,4053,2192
877,4053,2192
880,4045,2182
880,4045,2182
880,4045,2182
892,4042,2197
892,4042,2197
892,4042,2197
892,4047,2190
892,4047,2190
882,4066,2185
882,4066,2185
907,4040,2187
907,4040,2187
907,4040,2187
917,4053,2187
917,4053,2187
925,4068,2177
925,4068,2177
925,4068,2177
920,4048,2177
920,4048,2177
932,4048,2182
932,4048,2182
932,4048,2182
932,4048,2182
932,4048,2182
947,4056,2182
947,4056,2182
947,4056,2182
947,4056,2182
950,4047,2172
950,4047,2172
965,4051,2172
965,4051,2172
965,4051,2172
965,4051,2172
965,4051,2172
970,4048,2160
970,4048,2160
970,4048,2160
970,4048,2160
970,4048,2160
970,4048,2160
992,4058,2182
992,4058,2182
992,4058,2182
992,4058,2182
992,4063,2172
992,4063,2172
992,4063,2172
992,4063,2172
992,4063,2172
1005,4063,2165
1005,4063,2165
1005,4063,2165
1022,4058,2175
1022,4058,2175
1017,4066,2172
1017,4066,2172
1032,4048,2170
1032,4048,2170
1032,4048,2170
